Company Name,Industry,Symbol,Series,ISIN Code
Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,SUZLON,EQ,INE040H01021
Reliance Communications Ltd.,TELECOM,RCOM,EQ,INE330H01018
GVK Power & Infrastructures Ltd.,CONSTRUCTION,GVKPIL,EQ,INE251H01024
Hindustan Construction Co. Ltd.,CONSTRUCTION,HCC,EQ,INE549A01026
IFCI Ltd.,FINANCIAL SERVICES,IFCI,EQ,INE039A01010
IL&FS Transportation Networks Ltd.,CONSTRUCTION,IL&FSTRANS,EQ,INE975G01012
Indian Overseas Bank ,FINANCIAL SERVICES,IOB,EQ,INE565A01014
Jaiprakash Associates Ltd.,CEMENT & CEMENT PRODUCTS,JPASSOCIAT,EQ,INE455F01025
Jaiprakash Power Ventures Ltd.,ENERGY,JPPOWER,EQ,INE351F01018f
Shree Renuka Sugars Ltd.,CONSUMER GOODS,RENUKA,EQ,INE087H01022
Reliance Naval and Engineering Ltd.,INDUSTRIAL MANUFACTURING,RNAVAL,EQ,INE542F01012
Reliance Power Ltd.,ENERGY,RPOWER,EQ,INE614G01033
Vodafone Idea Ltd.,TELECOM,IDEA,EQ,INE669E01016
PTC India Fin Serv Ltd.,FINANCIAL SERVICES,PFS,EQ,INE560K01014
South Indian Bank Ltd.,FINANCIAL SERVICES,SOUTHBANK,EQ,INE683A01023
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,EQ,INE776C01039
UCO Bank,FINANCIAL SERVICES,UCOBANK,EQ,INE691A01018
Sintex Plastics Technology Ltd.,INDUSTRIAL MANUFACTURING,SPTL,EQ,INE501W01021
