Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025
Adani Enterprises Ltd.,SERVICES,ADANIENT,EQ,INE423A01024
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
Adani Power Ltd.,ENERGY,ADANIPOWER,EQ,INE814H01011
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049
Allahabad Bank,FINANCIAL SERVICES,ALBK,EQ,INE428A01015
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
Andhra Bank,FINANCIAL SERVICES,ANDHRABANK,EQ,INE434A01013
Apollo Hospitals Enterprises Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022
Arvind Ltd.,TEXTILES,ARVIND,EQ,INE034A01011
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,EQ,INE119A01028
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039
Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,EQ,INE463A01038
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
Bharat Financial Inclusion Ltd.,FINANCIAL SERVICES,BHARATFIN,EQ,INE180K01011
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025
Bharat Petroleum Corporation Ltd.,ENERGY,BPCL,EQ,INE029A01011
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024
Bharti Infratel Ltd.,TELECOM,INFRATEL,EQ,INE121J01017
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026
Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01022
Cadila Healthcare Ltd.,PHARMA,CADILAHC,EQ,INE010B01027
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,EQ,INE477A01020
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014
Capital First Ltd.,FINANCIAL SERVICES,CAPF,EQ,INE688I01017
Castrol India Ltd.,ENERGY,CASTROLIND,EQ,INE172A01027
Ceat Ltd.,AUTOMOBILE,CEATLTD,EQ,INE482A01020
Century Textile & Industries Ltd.,CEMENT & CEMENT PRODUCTS,CENTURYTEX,EQ,INE055A01016
CESC Ltd.,ENERGY,CESC,EQ,INE486A01013
CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,CGPOWER,EQ,INE067A01029
Chennai Petroleum Corporation Ltd.,ENERGY,CHENNPETRO,EQ,INE178A01016
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01016
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01017
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,EQ,INE298A01020
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026
Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALMIABHA,EQ,INE439L01019
DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,EQ,INE503A01015
Dewan Housing Finance Corporation Ltd.,FINANCIAL SERVICES,DHFL,EQ,INE202B01012
Dish TV India Ltd.,MEDIA & ENTERTAINMENT,DISHTV,EQ,INE836F01026
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024
