Company Name,Industry,Symbol,Series,ISIN Code
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
Indian Oil Corporation Ltd.,ENERGY,IOC,EQ,INE242A01010
NBCC (India) Ltd.,CONSTRUCTION,NBCC,EQ,INE095N01031
NLC India Ltd.,ENERGY,NLCINDIA,EQ,INE589A01014
NTPC Ltd.,ENERGY,NTPC,EQ,INE733E01010
Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC,EQ,INE213A01029
Oil India Ltd.,ENERGY,OIL,EQ,INE274J01014
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,EQ,INE134E01011
REC Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
SJVN Ltd.,ENERGY,SJVN,EQ,INE002L01015
