Company Name,Industry,Symbol,Series,ISIN Code
3M India Ltd.,SERVICES,3MINDIA,EQ,INE470A01017
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,EQ,INE117A01022
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01022
CRISIL Ltd.,FINANCIAL SERVICES,CRISIL,EQ,INE007A01025
Castrol India Ltd.,ENERGY,CASTROLIND,EQ,INE172A01027
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,EQ,INE298A01020
GlaxoSmithkline Consumer Healthcare Ltd.,CONSUMER GOODS,GSKCONS,EQ,INE264A01014
Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO,EQ,INE159A01016
Hexaware Technologies Ltd.,IT,HEXAWARE,EQ,INE093A01033
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027
Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,HONAUT,EQ,INE671A01010
Kansai Nerolac Paints Ltd.,CONSUMER GOODS,KANSAINER,EQ,INE531A01024
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010
MphasiS Ltd.,IT,MPHASIS,EQ,INE356A01018
Oracle Financial Services Software Ltd.,IT,OFSS,EQ,INE881D01027
Pfizer Ltd.,PHARMA,PFIZER,EQ,INE182A01018
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,EQ,INE179A01014
SKF India Ltd.,INDUSTRIAL MANUFACTURING,SKFINDIA,EQ,INE640A01023
Sanofi India Ltd.,PHARMA,SANOFI,EQ,INE058A01010
Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,SCHAEFFLER,EQ,INE513A01014
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,EQ,INE003A01024
Sterlite Technologies Ltd.,TELECOM,STRTECH,EQ,INE089C01029
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N,EQ,INE854D01024
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL,EQ,INE716A01013
